filament_xyz,p001,p01,p1,p5
Initial,1087394.888888889,1131075.5555555555,1037358.3333333334,1154857.3333333333
Perturb,500584.1111111111,533058.8888888889,479472.3333333333,544040.0
filament_yz,p001,p01,p1,p5
Initial,1141771.888888889,1133367.3333333333,1223104.111111111,1105866.888888889
Perturb,538578.1111111111,531699.2222222222,550437.8888888889,525915.5555555555
filament_z,p001,p01,p1,p5
Initial,1100933.4444444445,1105475.111111111,1080628.6666666667,1106706.888888889
Perturb,519636.55555555556,502615.1111111111,519065.44444444444,508231.1111111111
pancake,p001,p01,p1,p5
Initial,1055135.5555555555,1008970.2222222222,990584.4444444445,965383.3333333334
Perturb,530354.2222222222,523984.44444444444,526162.2222222222,521334.55555555556
pancake_initial_tilted,p001,p01,p1,p5
Initial,1036296.5555555555,895854.3333333334,915731.2222222222,1076560.4444444445
Perturb,563479.3333333334,535040.7777777778,523239.8888888889,583045.5555555555
uniform,p001,p01,p1,p5
Initial,1034288.7777777778,825328.3333333334,832949.2222222222,776051.1111111111
Perturb,605383.5555555555,512199.55555555556,529826.5555555555,485907.3333333333
