filament_xyz,p001,p01,p1,p5
Initial,1381659.3333333333,1410207.6666666667,1372865.111111111,1463990.5555555555
Perturb,540945.7777777778,574059.7777777778,512145.8888888889,579459.2222222222
filament_yz,p001,p01,p1,p5
Initial,1843044.888888889,1683198.5555555555,1770014.2222222222,1479831.7777777778
Perturb,700590.0,651225.1111111111,687879.2222222222,591441.6666666666
filament_z,p001,p01,p1,p5
Initial,1458110.4444444445,1391181.7777777778,1560988.7777777778,1667893.4444444445
Perturb,572685.6666666666,542409.5555555555,594656.1111111111,611124.4444444445
pancake,p001,p01,p1,p5
Initial,1035547.6666666666,1000229.7777777778,1018080.2222222222,1146022.4444444445
Perturb,569008.2222222222,569432.1111111111,566829.2222222222,625697.0
pancake_initial_tilted,p001,p01,p1,p5
Initial,1436970.0,1468977.6666666667,1264072.3333333333,1221584.111111111
Perturb,613527.8888888889,654073.0,574946.3333333334,568884.4444444445
uniform,p001,p01,p1,p5
Initial,986981.5555555555,1038948.5555555555,996793.5555555555,1210110.6666666667
Perturb,559602.0,570158.4444444445,578050.5555555555,652920.4444444445
